chunk_id,project_id,source_type,source_id,content,clean_query,noise_category,noisy_query
70,1,task,64,역할별 마이페이지 셸을 제공한다 - [Jira01 재검증 테스트 삽입] WF-209,역할별 마이페이지 셸을 제공한다 업무는 어떤 내용이야?,감정재촉형,역할별 마이페이지 셸을 제공한다 업무는 어떤 내용이야? 급한데 빨리 부탁해
49,1,task,43,카테고리별 업무 생성과 상세 패널을 제공한다 - [Jira01 재검증 테스트 삽입] WF-188,카테고리별 업무 생성과 상세 패널을 제공한다 업무는 어떤 내용이야?,감정재촉형,카테고리별 업무 생성과 상세 패널을 제공한다 업무는 어떤 내용이야? 급한데 빨리 부탁해
60,1,task,54,FS-4 심사자/기여도/QA (통합) - [Jira01 재검증 테스트 삽입] WF-199,FS-4 심사자/기여도/QA (통합) 업무는 어떤 내용이야?,구어체잡음형,FS-4 심사자/기여도/QA (통합) 업무는 어떤 내용이야? 근데 이거 그냥 궁금해서 물어보는 거야
8,1,action_item,3,"회의 제목: 캡스톤디자인 WorkFlow AI 착수 회의 회의 일자: 2026… - 회의 제목: 캡스톤디자인 WorkFlow AI 착수 회의 회의 일자: 2026-07-09 프로젝트 유형: 캡스톤디자인 참석자: 고무서, 곽진아, 박지수, 허영주, 유소은, 박상준, 이은주 [회의 내용] 고무서: 오…",회의 제목: 캡스톤디자인 WorkFlow AI 착수 회의 회의 일자: 2026… 관련해서 뭘 해야 해?,대화맥락형,저번에 물어봤던 거 말고 이번엔 회의 제목: 캡스톤디자인 WorkFlow AI 착수 회의 회의 일자: 2026… 관련해서 뭘 해야 해?
82,1,task,76,To-Do 승인 API 구현 - [Jira01 재검증 테스트 삽입] WF-221,To-Do 승인 API 구현 업무는 어떤 내용이야?,대화맥락형,저번에 물어봤던 거 말고 이번엔 To-Do 승인 API 구현 업무는 어떤 내용이야?
78,1,task,72,회의 분석 결과 화면 구현 - [Jira01 재검증 테스트 삽입] WF-217,회의 분석 결과 화면 구현 업무는 어떤 내용이야?,구어체잡음형,회의 분석 결과 화면 구현 업무는 어떤 내용이야? ㅋㅋ 그냥 확인차
60,1,task,54,FS-4 심사자/기여도/QA (통합) - [Jira01 재검증 테스트 삽입] WF-199,FS-4 심사자/기여도/QA (통합) 업무는 어떤 내용이야?,부가설명형,FS-4 심사자/기여도/QA (통합) 업무는 어떤 내용이야? (그냥 확인차 물어봄)
96,1,task,90,출처 포함 프로젝트 Q&A를 제공한다 - [Jira01 재검증 테스트 삽입] WF-235,출처 포함 프로젝트 Q&A를 제공한다 업무는 어떤 내용이야?,사교인사형,"혹시 바쁘신데 죄송한데, 출처 포함 프로젝트 Q&A를 제공한다 업무는 어떤 내용이야?"
14,1,action_item,8,"둘째, 회의록 AI는 문서 업로드를 먼저 구현하고 STT는 후순위로 둡니다 - 둘째, 회의록 AI는 문서 업로드를 먼저 구현하고 STT는 후순위로 둡니다","둘째, 회의록 AI는 문서 업로드를 먼저 구현하고 STT는 후순위로 둡니다 관련해서 뭘 해야 해?",사교인사형,"혹시 바쁘신데 죄송한데, 둘째, 회의록 AI는 문서 업로드를 먼저 구현하고 STT는 후순위로 둡니다 관련해서 뭘 해야 해?"
94,1,task,88,document_chunks 및 pgvector 스키마 구현 - [Jira01 재검증 테스트 삽입] WF-233,document_chunks 및 pgvector 스키마 구현 업무는 어떤 내용이야?,대화맥락형,"다른 거 말고, document_chunks 및 pgvector 스키마 구현 업무는 어떤 내용이야?"
51,1,task,45,통합 QA와 권한 시나리오를 검증한다 - [Jira01 재검증 테스트 삽입] WF-190,통합 QA와 권한 시나리오를 검증한다 업무는 어떤 내용이야?,부가설명형,통합 QA와 권한 시나리오를 검증한다 업무는 어떤 내용이야? (회의 관련 확인용 질문)
13,1,action_item,7,다만 팀장과 팀원은 이 화면에 접근하지 못하게 권한 테스트가 필요합니다 - 다만 팀장과 팀원은 이 화면에 접근하지 못하게 권한 테스트가 필요합니다,다만 팀장과 팀원은 이 화면에 접근하지 못하게 권한 테스트가 필요합니다 관련해서 뭘 해야 해?,구어체잡음형,다만 팀장과 팀원은 이 화면에 접근하지 못하게 권한 테스트가 필요합니다 관련해서 뭘 해야 해? ㅋㅋ 그냥 확인차
89,1,task,83,/ai/predict/delay 연동 및 예측 저장 구현 - [Jira01 재검증 테스트 삽입] WF-228,/ai/predict/delay 연동 및 예측 저장 구현 업무는 어떤 내용이야?,부가설명형,/ai/predict/delay 연동 및 예측 저장 구현 업무는 어떤 내용이야? (langsmith 테스트)
