"Issue Id","Parent Id","Issue Type","Summary","Description","Assignee","Priority","Labels","Due Date"
"E-001","","Epic","FS-1 인증/프로젝트/RBAC","Google OAuth 2.0 로그인, 프로젝트 생성, 팀원 초대, 프로젝트별 역할 권한을 구현한다.","곽진아","Highest","P0;auth;rbac;project;owner-곽진아",""
"S-001","E-001","Story","Google OAuth 로그인과 JWT 세션을 제공한다","사용자는 Google OAuth로 로그인하고 서버는 Access/Refresh JWT를 발급한다.","곽진아","Highest","P0;auth;oauth;owner-곽진아",""
"T-001","E-001","Task","로그인 화면 및 OAuth 콜백 화면 구현","Google 로그인 버튼, OAuth code 수신, 백엔드 토큰 교환, JWT 저장 흐름을 구현한다.","곽진아","Highest","P0;frontend;auth;owner-곽진아",""
"T-002","E-001","Task","OAuth callback 및 JWT refresh/logout API 구현","/auth/google/callback, /auth/refresh, /auth/logout API와 토큰 저장/폐기 로직을 구현한다.","곽진아","Highest","P0;backend;auth;owner-곽진아",""
"T-003","E-001","Task","users 테이블 Google provider 필드 반영","users에 provider, provider_id를 저장하고 Google sub 기반 유저 조회/생성을 처리한다.","곽진아","High","P0;db;auth;owner-곽진아",""
"S-002","E-001","Story","프로젝트 생성과 멤버 초대를 제공한다","팀장은 프로젝트를 생성하고 팀원/심사자 초대 링크를 발급할 수 있다.","곽진아","Highest","P0;project;invitation;owner-곽진아",""
"T-004","E-001","Task","프로젝트 목록/생성 UI 구현","프로젝트 목록, 프로젝트 생성 모달, 마감일/유형/설명 입력 UI를 구현한다.","곽진아","High","P0;frontend;project;owner-곽진아",""
"T-005","E-001","Task","프로젝트 CRUD 및 초대 API 구현","/projects, /projects/{id}/invitations, /invitations/{token}/accept API를 구현한다.","곽진아","Highest","P0;backend;project;owner-곽진아",""
"T-006","E-001","Task","프로젝트별 RBAC 라우트/API 가드 구현","project_members.role 기반으로 팀장/팀원/심사자 접근을 제어한다.","곽진아","Highest","P0;rbac;security;owner-곽진아",""
"S-003","E-001","Story","역할별 마이페이지 셸을 제공한다","팀장, 팀원, 심사자의 개인 화면 레이아웃과 권한별 위젯 노출을 구현한다.","곽진아","Medium","P0;mypage;rbac;owner-곽진아",""
"T-007","E-001","Task","/me, /me/tasks, /me/comments API 기본 구현","로그인 사용자 정보, 내 업무, 내 코멘트 조회 API를 구현한다.","곽진아","Medium","P0;api;mypage;owner-곽진아",""
"T-008","E-001","Task","역할별 마이페이지 라우트와 위젯 영역 구현","팀원/팀장/심사자 역할에 따라 다른 위젯 구성을 표시한다.","곽진아","Medium","P0;frontend;mypage;owner-곽진아",""
"E-002","","Epic","FS-2 회의록 AI/To-Do","회의록 업로드, STT, LLM 분석, To-Do 후보 생성 및 승인 흐름을 구현한다.","박지수","Highest","P0;P1;meeting;todo;ai;owner-박지수",""
"S-004","E-002","Story","회의록 문서 업로드와 분석 상태 조회를 제공한다","회의록 파일을 업로드하고 텍스트 추출 및 분석 진행 상태를 확인한다.","박지수","Highest","P0;meeting;upload;owner-박지수",""
"T-009","E-002","Task","회의록 업로드 화면 구현","문서/음성/영상 유형 선택, 파일 드롭, 참석자 선택 UI를 구현한다.","박지수","Highest","P0;frontend;meeting;owner-박지수",""
